Date,Open,High,Low,Close,Change (Pips)
"Feb 09, 2021 00:00",81.01,81.158,80.646,80.909,-10.1
"Feb 08, 2021 00:00",80.746,81.19,80.734,81.073,+32.7
"Feb 05, 2021 00:00",80.156,80.92,80.039,80.9,+74.4
"Feb 04, 2021 00:00",80.006,80.329,79.97,80.225,+21.9
"Feb 03, 2021 00:00",79.851,80.127,79.814,80.036,+18.5
"Feb 02, 2021 00:00",79.956,80.371,79.541,79.868,-8.8
"Feb 01, 2021 00:00",79.807,80.211,79.691,79.977,+17.0
"Jan 29, 2021 00:00",80.052,80.646,79.807,80.022,-3.0
"Jan 28, 2021 00:00",79.745,80.237,79.201,80.04,+29.5
"Jan 27, 2021 00:00",80.21,80.439,79.628,79.777,-43.3
"Jan 26, 2021 00:00",80.001,80.343,79.604,80.277,+27.6
"Jan 25, 2021 00:00",80.037,80.337,79.759,80.026,-1.1
"Jan 22, 2021 00:00",80.334,80.444,79.903,80.056,-27.8
"Jan 21, 2021 00:00",80.193,80.516,80.133,80.361,+16.8
"Jan 20, 2021 00:00",79.945,80.342,79.898,80.2,+25.5
"Jan 19, 2021 00:00",79.622,80.317,79.545,79.973,+35.1
"Jan 18, 2021 00:00",79.995,80.067,79.51,79.621,-37.4
"Jan 15, 2021 00:00",80.722,80.791,79.722,80.01,-71.2
"Jan 14, 2021 00:00",80.323,80.854,80.28,80.744,+42.1
"Jan 13, 2021 00:00",80.634,80.7,80.265,80.329,-30.5
"Jan 12, 2021 00:00",80.232,80.689,80.161,80.653,+42.1
"Jan 11, 2021 00:00",80.528,80.716,79.994,80.219,-30.9
"Jan 08, 2021 00:00",80.616,80.924,80.382,80.726,+11.0
"Jan 07, 2021 00:00",80.367,80.686,80.162,80.633,+26.6
"Jan 06, 2021 00:00",79.692,80.514,79.53,80.45,+75.8
"Jan 05, 2021 00:00",79.022,79.84,78.977,79.718,+69.6
"Jan 04, 2021 00:00",79.417,79.678,78.847,79.064,-35.3
"Dec 31, 2020 00:00",79.295,79.789,79.191,79.461,+16.6
"Dec 30, 2020 00:00",78.774,79.395,78.706,79.321,+54.7
"Dec 29, 2020 00:00",78.667,78.955,78.592,78.773,+10.6
"Dec 28, 2020 00:00",78.643,78.881,78.479,78.678,+3.5
"Dec 24, 2020 00:00",78.438,78.842,78.34,78.664,+22.6
"Dec 23, 2020 00:00",77.95,78.583,77.895,78.458,+50.8
"Dec 22, 2020 00:00",78.356,78.417,77.846,77.932,-42.4
"Dec 21, 2020 00:00",78.517,78.639,77.488,78.356,-16.1
"Dec 18, 2020 00:00",78.593,78.824,78.434,78.733,+14.0
"Dec 17, 2020 00:00",78.387,78.823,78.287,78.616,+22.9
"Dec 16, 2020 00:00",78.341,78.429,78.123,78.361,+2.0
"Dec 15, 2020 00:00",78.35,78.546,78.147,78.329,-2.1
"Dec 14, 2020 00:00",78.482,78.703,78.273,78.362,-12.0
"Dec 11, 2020 00:00",78.52,78.777,78.189,78.387,-13.3
"Dec 10, 2020 00:00",77.574,78.578,77.377,78.525,+95.1
"Dec 09, 2020 00:00",77.173,77.942,77.108,77.569,+39.6
"Dec 08, 2020 00:00",77.192,77.371,77.064,77.17,-2.2
"Dec 07, 2020 00:00",77.356,77.5,76.897,77.187,-16.9
"Dec 04, 2020 00:00",77.255,77.501,77.033,77.374,+11.9
"Dec 03, 2020 00:00",77.423,77.56,77.161,77.274,-14.9
"Dec 02, 2020 00:00",76.877,77.476,76.829,77.427,+55.0
"Dec 01, 2020 00:00",76.58,76.973,76.551,76.9,+32.0
"Nov 30, 2020 00:00",76.831,77.11,76.599,76.609,-22.2
"Nov 27, 2020 00:00",76.706,76.953,76.498,76.819,+11.3
